# Dynamic Settlements vanilla recipe ingredient replacements
# resultItemID	techStringID	ingredientID:amount,ingredientID:amount
agedchampionshield	fallenanvil	dsanyplank:1,leather:1,bioessence:1
alchemytable	workstation	anylog:10,healthpotion:2,anystone:10
amethysthelmet	fallenanvil	amethystplate:1,leather:1,amethyst:1,pearlescentdiamond:1,omnicrystal:1
amethyststaff	demonicanvil	dsanyshaft:1,magicfocus:1,quartz:1,amethyst:1
amethystsword	demonicanvil	amethystblade:1,dsanyshaft:1,amethyst:1
ammobag	fallen	ammopouch:1,shadowessence:5,cryoessence:5,bioessence:5,primordialessence:5
ancestorsboots	tungstenanvil	ancientfossilplate:1,leather:1,wormcarapace:1
ancestorshat	tungstenanvil	clothpanel:1,string:1,wormcarapace:1
ancestorsrobe	tungstenanvil	clothpanel:1,string:1,wormcarapace:1
ancientdredgingstaff	tungstenanvil	dsanyshaft:1,magicfocus:1,dredgingstaff:1
ancientfossilaxe	tungstenanvil	ancientfossilplate:1,woodenshaft:1
ancientfossilboots	tungstenanvil	ancientfossilplate:1,leather:1,wormcarapace:1
ancientfossilchestplate	tungstenanvil	ancientfossilplate:1,leather:1,wormcarapace:1
ancientfossilhelmet	tungstenanvil	ancientfossilplate:1,leather:1,wormcarapace:1
ancientfossilmask	tungstenanvil	ancientfossilplate:1,leather:1,wormcarapace:1
ancientfossilpickaxe	tungstenanvil	ancientfossilplate:1,woodenshaft:1
ancientfossilshovel	tungstenanvil	ancientfossilplate:1,woodenshaft:1
ancientrelics	tungstenworkstation	airvessel:1,templependant:1
ancientruindoor	fallen	crystalstone:15
ancientruinwall	fallen	crystalstone:5
ancientstatue	demonic	demonicbar:4,quartz:4,voidshard:4
andgate	demonic	copperbar:1,wire:5
antiquerifle	fallenanvil	demonicplate:1,dsanyplate:1,dsanyplank:1,primordialessence:1
apiary	demonic	anylog:20,ironbar:10,honey:5
apiaryframe	demonic	anylog:5,wool:5
arachnidchestplate	demonicanvil	dsanymetalplate:1,leather:1,spiderchestplate:1,frostshard:1,cavespidergland:1
arachnidhelmet	demonicanvil	dsanymetalplate:1,leather:1,spiderhelmet:1,frostshard:1,royalegg:1
arachnidlegs	demonicanvil	spiderboots:1,frostshard:1,cavespidergland:1
arachnidwebbow	fallenanvil	spideriteshaft:1,string:1,spideressence:1,spidervenom:1
arcanearmory	demonic	demonicbar:10,voidshard:10,ivybar:10,quartz:10
arcanicboots	fallenanvil	arcanicplate:1,leather:1,electrifiedmana:1,omnicrystal:1
arcanicchestplate	fallenanvil	arcanicplate:1,leather:1,electrifiedmana:1,omnicrystal:1
arcaniccolumn	fallencarpenter	stone:1,electrifiedmana:1
arcanicdoor	fallen	anystone:5,electrifiedmana:1
arcanicfloor	fallen	electrifiedmana:2
arcanichelmet	fallenanvil	arcanicplate:1,leather:1,electrifiedmana:1,omnicrystal:1
arcaniclamp	fallencarpenter	arcanicshaft:1,glass:1,string:1,electrifiedmana:1
arcanicpath	fallen	electrifiedmana:2
arcanicwall	fallen	anystone:10,electrifiedmana:1
armorstand	carpenter	anylog:1
assassinscowl	demonic	luckycape:1,ancientfeather:1
balancedfoci	demonic	meleefoci:1,rangefoci:1,magicfoci:1,summonfoci:1
balancedfrostfirefoci	tungstenworkstation	balancedfoci:1,frostflame:1
bamboobathtub	tungstencarpenter	bamboo:1
